Date,Close,High,Low,Open,Volume
2024-04-29,1273.7001953125,1278.4706080290262,1216.4552427141855,1254.6185444463952,27687400.0
2024-04-30,1292.7818603515625,1307.0930986580372,1264.1593837386126,1278.4706220450876,24498900.0
2024-05-01,1292.7818603515625,1307.0930986580372,1264.1593837386126,1278.4706220450876,24498900.0
2024-05-02,1302.3226318359375,1321.404282119248,1278.4705689817995,1297.55221926511,49490600.0
2024-05-03,1302.3226318359375,1307.093044406765,1288.0113941234547,1302.3226318359375,20510200.0
2024-05-06,1359.5677490234375,1359.5677490234375,1302.322791169819,1316.6340306332236,56512000.0
2024-05-07,1340.486083984375,1364.3381495356984,1330.9452577638456,1359.5677364254336,25684100.0
2024-05-08,1369.1083984375,1369.1083984375,1340.4859232088415,1340.4859232088415,43532500.0
2024-05-09,1369.1083984375,1369.1083984375,1340.4859232088415,1340.4859232088415,43532500.0
2024-05-10,1369.1083984375,1369.1083984375,1340.4859232088415,1340.4859232088415,43532500.0
2024-05-13,1407.271728515625,1416.812553793697,1359.5676021252648,1369.108427403337,64339500.0
2024-05-14,1373.8790283203125,1407.2719213697646,1369.1086150275337,1407.2719213697646,26634100.0
2024-05-15,1350.02685546875,1412.0422233878091,1350.02685546875,1378.6493329698542,44476800.0
2024-05-16,1373.8790283203125,1378.6494416130913,1354.797375149197,1354.797375149197,33454900.0
2024-05-17,1373.8790283203125,1383.4198549058701,1354.797375149197,1378.6494416130913,28090300.0
2024-05-20,1388.190185546875,1392.9605985556273,1364.3381205031144,1373.8789465206187,27290300.0
2024-05-21,1373.8790283203125,1407.2719213697646,1369.1086150275337,1388.1902681986492,41137800.0
2024-05-22,1392.9605712890625,1392.9605712890625,1359.567680881448,1383.4197454583157,31385400.0
2024-05-23,1392.9605712890625,1392.9605712890625,1359.567680881448,1383.4197454583157,31385400.0
2024-05-24,1392.9605712890625,1392.9605712890625,1359.567680881448,1383.4197454583157,31385400.0
2024-05-27,1369.1083984375,1402.5012862042684,1364.3379858993903,1392.9604611280488,70609900.0
2024-05-28,1384.1904296875,1394.4818083468865,1337.8792257202601,1337.8792257202601,85173300.0
2024-05-29,1379.044921875,1394.4819918959888,1368.7535418610075,1384.1906118819963,23084900.0
2024-05-30,1409.9189453125,1425.3560140567974,1379.044807823905,1379.044807823905,47278200.0
2024-05-31,1425.3560791015625,1445.9388383665669,1404.773319836558,1415.06469946906,95437800.0
2024-06-03,1507.6871337890625,1507.6871337890627,1440.7931653956912,1440.7931653956912,84422500.0
2024-06-04,1502.5413818359375,1512.8327611635812,1466.5215541891857,1492.2500025082943,64394000.0
2024-06-05,1476.8128662109375,1497.395623928163,1461.3757979230184,1492.2499344988566,40235800.0
2024-06-06,1466.5216064453125,1481.9586759868423,1451.084536903783,1481.9586759868423,24301800.0
2024-06-07,1461.3758544921875,1487.1043026346556,1451.0844752352004,1466.5215441206813,25352600.0
2024-06-10,1415.064697265625,1466.5215953480113,1394.4819380326703,1461.3759055397727,48405800.0
2024-06-11,1399.627685546875,1425.3561356488394,1399.6276855468748,1415.0647556080537,27025700.0
2024-06-12,1435.6475830078125,1445.938963531166,1404.7734414377521,1409.9191316994288,41923800.0
2024-06-13,1430.501708984375,1456.230156987691,1415.0646401823853,1451.0844673870279,23164500.0
2024-06-14,1430.501708984375,1445.9387777863647,1409.9189505817221,1445.9387777863647,23154400.0
2024-06-17,1430.501708984375,1445.9387777863647,1409.9189505817221,1445.9387777863647,23154400.0
2024-06-18,1430.501708984375,1445.9387777863647,1409.9189505817221,1445.9387777863647,23154400.0
2024-06-19,1368.75341796875,1435.6473820048168,1358.4620388862784,1430.5016924635809,45623700.0
2024-06-20,1404.773193359375,1404.7731933593752,1368.7533678886218,1384.190435947516,18168000.0
2024-06-21,1404.773193359375,1430.501640124199,1399.6275040064104,1404.7731933593752,43444700.0
2024-06-24,1399.627685546875,1409.9190655876607,1389.336305506089,1404.7733755672677,15497700.0
2024-06-25,1394.48193359375,1399.6276233856088,1379.0448642181734,1394.48193359375,17174800.0
2024-06-26,1415.064697265625,1420.2103870738636,1389.3362482244318,1394.4819380326703,18956900.0
2024-06-27,1415.064697265625,1430.501766690341,1399.627627840909,1415.064697265625,24919400.0
2024-06-28,1435.6475830078125,1440.7932732694892,1415.0648219611055,1415.0648219611055,29761900.0
2024-07-01,1440.7930908203125,1461.3758492606028,1420.2103323800222,1435.6474012102399,20224300.0
2024-07-02,1461.3758544921875,1471.6672337491748,1440.7930959782132,1440.7930959782132,23640200.0
2024-07-03,1487.1043701171875,1502.5414397031789,1461.3759208072015,1466.5216106691985,37201100.0
2024-07-04,1471.667236328125,1497.3956845156795,1471.667236328125,1492.2499948781685,21481400.0
2024-07-05,1497.395751953125,1497.395751953125,1471.6673026068513,1476.812992476106,19036800.0
2024-07-08,1492.25,1497.3956896551724,1481.9586206896552,1497.3956896551724,19287600.0
2024-07-09,1492.25,1502.5413793103448,1481.9586206896552,1497.3956896551724,33908500.0
2024-07-10,1492.25,1507.6870689655173,1481.9586206896552,1492.25,15583800.0
2024-07-11,1471.667236328125,1492.2499948781685,1471.667236328125,1492.2499948781685,14109100.0
2024-07-12,1456.230224609375,1471.6672941282022,1440.7931550905478,1466.5216042885932,31624700.0
2024-07-15,1476.8128662109375,1476.8128662109375,1456.230108493712,1456.230108493712,28322100.0
2024-07-16,1476.8128662109375,1492.2499344988566,1466.5214873523248,1492.2499344988566,15556100.0
2024-07-17,1492.25,1497.3956896551724,1476.8129310344827,1487.1043103448276,30254100.0
2024-07-18,1559.1439208984375,1564.289610406353,1476.8128887717874,1487.1042677876185,103268300.0
2024-07-19,1595.163818359375,1620.8922670425907,1564.2896799395162,1564.2896799395162,112245400.0
2024-07-22,1641.47509765625,1662.0578575014695,1595.1638880045064,1595.1638880045064,67919400.0
2024-07-23,1610.600830078125,1667.203415160743,1610.600830078125,1641.4749673959166,33527400.0
2024-07-24,1631.1837158203125,1641.4750957308509,1605.455266043967,1615.7466459545053,34903800.0
2024-07-25,1610.600830078125,1646.6206569488818,1605.4551405251598,1626.037898737021,32062500.0
2024-07-26,1636.329345703125,1641.475035469487,1610.600896871315,1620.892276404039,26608400.0
2024-07-29,1636.329345703125,1656.912104768573,1631.183655936763,1636.329345703125,27176600.0
2024-07-30,1662.0577392578125,1672.3491184482632,1636.3292912816853,1646.6206704721362,46439400.0
2024-07-31,1656.9122314453125,1682.640682244153,1646.6208511257764,1672.3493019246168,44870200.0
2024-08-01,1672.3492431640625,1672.3492431640623,1631.1837233323315,1656.9121732271633,36345400.0
2024-08-02,1708.3690185546875,1734.0974676293063,1662.0578102203735,1667.2035000352973,72656600.0
2024-08-05,1590.01806640625,1682.6404780415653,1579.7266873356593,1682.6404780415653,136208200.0
2024-08-06,1636.329345703125,1646.620725235849,1584.8724480395047,1626.037966170401,92352300.0
2024-08-07,1662.0577392578125,1682.6404976387141,1646.6206704721362,1651.7663600673616,52487400.0
2024-08-08,1641.47509765625,1662.0578575014695,1626.0380277723355,1651.7664775788598,33577900.0
2024-08-09,1636.329345703125,1656.912104768573,1620.892276404039,1651.766415002211,38362100.0
2024-08-12,1667.203369140625,1667.203369140625,1636.329232675058,1641.4749220859858,55556900.0
